student_id,label,pred,len,text
121,ChatGPT,Claude,366,"For study purposes or use it like google. For study purposes, I tried a question on tutorial but would like AI to explain me the tutorial answer. For example math problem, some details will be missed or miscalculate causing a bad following response. I first have a basic idea in my mind for one question and ask it. When idea not in the same line, I question or ask."
126,ChatGPT,Gemini,584,"I would use the model for short, quick answers, or if I need pointers in a subject area that I'm not familiar with. The response was for a linear regression derivation task. The response was correct, but the derivation process in terms of algebraic expressions was complicated, difficult to parse, and not very intuitive. If the language model provided a link reference, I would follow the link to check for hallucinations. For technical questions, I use stack overflow or official documentation to verify the answer. Otherwise, I would perform a google search with relevant keywords."
129,Claude,ChatGPT,319,"Asking questions in a conversational tone, generating emails and texts, and generating ideas. It doesn't provide sources or examples for questions as it doesn't have access to the internet and it tends to make up information. Ask another generative AI model or google the prompt and see if there are sources that agree."
129,Gemini,ChatGPT,292,"Generating mathematical proofs, asking for sources relating to a topic, and solving complex integrals. [THIS MODEL] struggles with conversational responses. Its responses are often stiff and clearly robotic. Clicking on a source it provides or verifying numerical answers using wolfram alpha."
135,Claude,Gemini,349,"I used [THIS MODEL] to answer questions about general problems I face and explanations of idioms and such. Writing code with [THIS MODEL] is less optimal than the other models, as it is less details and usually doesn't offer an explanation for its approaches unless asked for. Compare with responses from other models and check with Google searches."
135,Gemini,Claude,517,"I also use [THIS MODEL] for math computation and coding. In my experience, it provides also better quality citations and resources for research. The main instances of [THIS MODEL] providing a suboptimal response is when again computing math and manipulating formulas/proofs. It brute forces the final result even though it didn't get there through the steps. Compare with [ANOTHER MODEL]/Deepseek, Google search, and match with the lecture slides that I am studying if I am currently trying to summarize the material."
157,Claude,Gemini,496,"Personally, I could use this for writing drafts of research documents. Also, I could ask [THIS MODEL] to create routine planners/guides. In math computations, sometimes [THIS MODEL] can make simple arithmetic errors especially when dealing with multi-step calculations paired with step-by-step explanations. This model would list the sources it uses to generate a response at the top, so verifying them is rather easy. Just go through the given sources and determine if they seem credible to you."
164,Gemini,Claude,130,Write coding homework They wrote essays with very professional tone that are very likely to be detected. Read the essay thoroughly
176,Gemini,Claude,215,Understanding concepts and asking for explanations. Asking questions about a particular topic. Revising an essay I have already written to be more clearer. Never used [THIS MODEL] before Never used this model before
177,ChatGPT,Gemini,701,"I use [THIS MODEL] to answer quick day-to-day questions about how to do things, as well as facts I want a quick answer to. I'd rarely use it for academic in the context of answering a whole question or assignment, but I use if for checking answers and studying. I asked [THIS MODEL] to give me a simple care guide for a rubber plant I have in my room and specifically asked it how often i should water it. It did provide a long guide on plant care but didn't mention how often i should water it. If its something to do with math or CS I usually cross reference with other solutions from people, GenAIs, and myself. I also try to work through the solution [THIS MODEL] provides on my own to find flaws."
185,Claude,Gemini,502,"I would use it mainly for administration stuff, like to create simple graphs quickly or for creating schedules. When I want it to write or debug my code, it does the job but I have to prompt it some more in order to get an explanation of what it fixed or created. I would search various websites with the same information and check if [THIS MODEL]'s response is correct. If the model is creating something more subjective like a schedule, I would manually go through it to see if it's what I asked for."
186,Claude,Gemini,227,"I use it to help me read articles and give me summaries I think this model often times give too much explanation, which I don't need, thus I don't use this model for explanation needs. I read some parts of the article by myself"
187,Claude,ChatGPT,325,"I use this model for mainly writing purposes, such as polishing emails, drafting, reviewing and editing my writing, etc. I sometimes use it for coding as well. I may ask the model for edits or to tighten up a piece of writing, but the output the model gave feels worse than the input. Clicking that link and seeing the source"
188,ChatGPT,Claude,749,"I would use [THIS MODEL] to explain concepts and ask for concept clarifications. Whenever there are abstract concepts that are mentioned in lecture, I would ask [THIS MODEL] to give some instantiations for me to more thoroughly understand the subject matter. I have asked this model to solve linear algebra problems. In displaying the solutions, [THIS MODEL] made simple and obvious computational mistakes in calculating normal vectors. In some cases, it messes up the signs and in other cases it misses fundamental multiplication operations. I would search using the Google search engine. Since the search results typically incorporate an AI response from [ANOTHER MODEL], I would check the results from [THIS MODEL] with that from [ANOTHER MODEL]."
189,ChatGPT,Gemini,175,"best used for brainstorming, essay writing, drafting emails/letters when math was involved the model gave answers that did not make sense ask the model for the sources it used"
189,Claude,Gemini,130,"best used for math, computations, logical problems given math problems it also gave incorrect solutions ask for the models sources"
208,Gemini,ChatGPT,682,"I use Google [THIS MODEL] whenever I do a Google search, and I get back an ""AI Overview"" response. The main task I use it for is asking questions that I want to know the answer to. When I Google a question and the AI Overview box shows up, it often gives an incorrect answer or solution to my question. Since I am already on Google when the AI Overview box shows up, and since it often provides a response that includes references or supporting evidence, I make sure to visit each of those references to make sure the information indeed matches and that the references themselves are reliable. I would also just scroll down to see the links that were provided from my Google search."
234,Claude,Gemini,112,I'd use to to schedule my day. i've never used it before. Compare and cross check with reliable resources i have
242,Claude,Gemini,272,"I don't use this model much, but I would use it for academic questions When I ask it for new ideas for a project, it gives ideas that are very generic I would search up the same topic on Google, and use multiple sources to check if the information it provided was correct."
242,Gemini,ChatGPT,304,"I would use it for academic questions I asked it for help on how to code something for a Hackathon, and it gave code that didn't do exactly what I needed, even after I told it to change multiple times I would search up the same topic on Google, and see if its response was correct based on other sources."
245,ChatGPT,Claude,481,"programming simple tasks, or things that have already been done by others quickly translating ideas into code searching for quick answers that aren't too important asking questions that feel awkward when worded as a search prompt Generating code for a recent javascript framework that has gone through a major update. It keeps using outdated syntax even if I explicitly asked for new syntax. For programming only: actually running the code to see if it produces the correct results"
266,Claude,Gemini,460,"I have never used [THIS MODEL] before, but I tried it out with a couple of questions aboout makeup products for very specific skin types, and it was able to perform pretty well. I also used it to draft a study plan for me. I tried getting it to draft a study plan for me (currently 1pm) and it keeps starting the day from 9am. I prompted it 3 times to have the start time be now, and it said it understood but did not actually change the schedule. googling it."
